,open,high,low,close,volume,Ticker,Date
135007,147.44,147.45,147.44,147.45,756,WMT,2023-04-03 04:55:00
135008,147.33,147.33,147.01,147.01,1989,WMT,2023-04-03 06:05:00
135009,146.78,146.78,146.78,146.78,370,WMT,2023-04-03 07:05:00
135011,147.0,147.0019,147.0,147.0019,339,WMT,2023-04-03 08:05:00
135012,147.5,147.5,147.45,147.45,1086,WMT,2023-04-03 08:25:00
135014,147.265,147.265,147.265,147.265,200,WMT,2023-04-03 09:00:00
135015,147.6,147.6,147.6,147.6,107,WMT,2023-04-03 09:20:00
135017,147.73,147.99,147.5,147.95,214158,WMT,2023-04-03 09:35:00
135018,147.95,148.08,147.9,147.97,88985,WMT,2023-04-03 09:40:00
135019,147.99,148.215,147.94,147.985,80522,WMT,2023-04-03 09:45:00
135021,148.07,148.3223,147.99,148.26,95616,WMT,2023-04-03 09:55:00
135022,148.25,148.38,148.16,148.21,113535,WMT,2023-04-03 10:00:00
135023,148.22,148.38,148.16,148.245,71321,WMT,2023-04-03 10:05:00
135025,148.73,148.82,148.56,148.74,78766,WMT,2023-04-03 10:15:00
135026,148.731,148.84,148.69,148.69,65630,WMT,2023-04-03 10:20:00
135027,148.68,148.924,148.651,148.845,69775,WMT,2023-04-03 10:25:00
135028,148.85,148.94,148.79,148.91,46517,WMT,2023-04-03 10:30:00
135029,148.92,148.95,148.71,148.77,65877,WMT,2023-04-03 10:35:00
135030,148.78,148.87,148.64,148.66,75134,WMT,2023-04-03 10:40:00
135031,148.66,148.79,148.59,148.62,77367,WMT,2023-04-03 10:45:00
135032,148.625,148.71,148.54,148.58,65047,WMT,2023-04-03 10:50:00
135033,148.57,148.68,148.46,148.67,65041,WMT,2023-04-03 10:55:00
135036,148.43,148.47,148.24,148.38,128936,WMT,2023-04-03 11:10:00
135039,148.35,148.54,148.32,148.51,62035,WMT,2023-04-03 11:25:00
135040,148.52,148.67,148.51,148.66,59384,WMT,2023-04-03 11:30:00
135041,148.6599,148.79,148.57,148.77,68280,WMT,2023-04-03 11:35:00
135042,148.76,148.845,148.67,148.684,59036,WMT,2023-04-03 11:40:00
135043,148.69,148.81,148.63,148.77,49870,WMT,2023-04-03 11:45:00
135044,148.78,148.8,148.61,148.61,45799,WMT,2023-04-03 11:50:00
135045,148.62,148.6599,148.51,148.53,34416,WMT,2023-04-03 11:55:00
135046,148.53,148.63,148.5,148.61,38119,WMT,2023-04-03 12:00:00
135047,148.61,148.61,148.505,148.55,29550,WMT,2023-04-03 12:05:00
135048,148.56,148.575,148.37,148.46,35622,WMT,2023-04-03 12:10:00
135049,148.45,148.46,148.37,148.425,31702,WMT,2023-04-03 12:15:00
135050,148.425,148.47,148.36,148.46,46400,WMT,2023-04-03 12:20:00
135051,148.475,148.475,148.38,148.38,38353,WMT,2023-04-03 12:25:00
135052,148.38,148.4,148.33,148.33,31651,WMT,2023-04-03 12:30:00
135053,148.325,148.33,148.26,148.3,30451,WMT,2023-04-03 12:35:00
135054,148.31,148.31,148.25,148.26,38276,WMT,2023-04-03 12:40:00
135055,148.26,148.285,148.18,148.2,41121,WMT,2023-04-03 12:45:00
135056,148.205,148.34,148.2,148.315,30674,WMT,2023-04-03 12:50:00
135057,148.32,148.47,148.31,148.435,42685,WMT,2023-04-03 12:55:00
135058,148.44,148.51,148.42,148.47,40998,WMT,2023-04-03 13:00:00
135059,148.47,148.47,148.29,148.37,24430,WMT,2023-04-03 13:05:00
135060,148.38,148.47,148.371,148.47,24499,WMT,2023-04-03 13:10:00
135061,148.49,148.59,148.48,148.57,29958,WMT,2023-04-03 13:15:00
135062,148.57,148.61,148.4743,148.51,39379,WMT,2023-04-03 13:20:00
135063,148.515,148.515,148.4,148.49,29814,WMT,2023-04-03 13:25:00
135064,148.5,148.525,148.39,148.405,31787,WMT,2023-04-03 13:30:00
135065,148.39,148.43,148.38,148.41,27132,WMT,2023-04-03 13:35:00
135066,148.4,148.51,148.38,148.51,37558,WMT,2023-04-03 13:40:00
135067,148.5139,148.52,148.41,148.415,30678,WMT,2023-04-03 13:45:00
135069,148.355,148.44,148.335,148.44,28165,WMT,2023-04-03 13:55:00
135070,148.44,148.45,148.37,148.435,50720,WMT,2023-04-03 14:00:00
135071,148.43,148.52,148.37,148.39,58879,WMT,2023-04-03 14:05:00
135072,148.385,148.54,148.385,148.46,33521,WMT,2023-04-03 14:10:00
135073,148.465,148.55,148.4225,148.54,47091,WMT,2023-04-03 14:15:00
135074,148.53,148.55,148.43,148.455,49701,WMT,2023-04-03 14:20:00
135075,148.4518,148.64,148.39,148.625,61236,WMT,2023-04-03 14:25:00
135076,148.62,148.73,148.57,148.72,59219,WMT,2023-04-03 14:30:00
135077,148.7,148.88,148.64,148.82,47193,WMT,2023-04-03 14:35:00
135078,148.82,148.84,148.72,148.79,50414,WMT,2023-04-03 14:40:00
135079,148.8,148.85,148.76,148.8,38032,WMT,2023-04-03 14:45:00
135080,148.81,148.845,148.76,148.77,32135,WMT,2023-04-03 14:50:00
135081,148.76,148.87,148.672,148.74,56122,WMT,2023-04-03 14:55:00
135083,148.78,148.79,148.66,148.68,53592,WMT,2023-04-03 15:05:00
135084,148.665,148.755,148.58,148.58,38009,WMT,2023-04-03 15:10:00
135085,148.59,148.625,148.52,148.625,57340,WMT,2023-04-03 15:15:00
135087,148.555,148.68,148.54,148.63,56470,WMT,2023-04-03 15:25:00
135088,148.63,148.78,148.63,148.73,62437,WMT,2023-04-03 15:30:00
135089,148.73,148.77,148.67,148.69,72861,WMT,2023-04-03 15:35:00
135090,148.68,148.77,148.64,148.6508,89331,WMT,2023-04-03 15:40:00
135091,148.655,148.67,148.54,148.625,114214,WMT,2023-04-03 15:45:00
135092,148.63,148.73,148.615,148.63,103825,WMT,2023-04-03 15:50:00
135093,148.63,148.65,148.52,148.615,185807,WMT,2023-04-03 15:55:00
135095,148.69,148.69,148.5,148.69,351598,WMT,2023-04-03 16:05:00
135096,148.69,148.69,148.69,148.69,6920,WMT,2023-04-03 16:10:00
135097,148.69,148.69,148.69,148.69,3019,WMT,2023-04-03 16:15:00
135098,148.55,148.55,148.55,148.55,100,WMT,2023-04-03 16:20:00
135099,148.55,148.55,148.55,148.55,200,WMT,2023-04-03 17:00:00
135101,148.58,148.58,148.58,148.58,493,WMT,2023-04-03 17:50:00
135102,148.66,148.66,148.66,148.66,100,WMT,2023-04-03 18:35:00
135104,148.6,148.6,148.57,148.57,394,WMT,2023-04-03 19:10:00
135105,148.57,148.57,148.57,148.57,500,WMT,2023-04-03 19:55:00
135106,148.68,148.68,148.68,148.68,187,WMT,2023-04-04 07:10:00
135108,148.85,148.85,148.85,148.85,100,WMT,2023-04-04 08:50:00
135110,148.58,148.58,148.58,148.58,435,WMT,2023-04-04 09:30:00
135111,148.53,148.79,148.18,148.54,273317,WMT,2023-04-04 09:35:00
135113,148.41,148.41,147.89,147.98,149959,WMT,2023-04-04 09:45:00
135114,147.99,148.3,147.9,148.07,84845,WMT,2023-04-04 09:50:00
135115,148.06,148.46,148.015,148.46,63667,WMT,2023-04-04 09:55:00
135116,148.44,148.48,148.3,148.385,31227,WMT,2023-04-04 10:00:00
135119,148.26,148.33,148.1,148.16,56690,WMT,2023-04-04 10:15:00
135121,148.15,148.2,148.0,148.18,60427,WMT,2023-04-04 10:25:00
135122,148.19,148.21,148.04,148.08,59151,WMT,2023-04-04 10:30:00
135123,148.09,148.5,148.09,148.41,88230,WMT,2023-04-04 10:35:00
135124,148.41,148.42,148.22,148.22,52228,WMT,2023-04-04 10:40:00
135128,148.11,148.11,147.92,147.92,58695,WMT,2023-04-04 11:00:00
135129,147.91,147.99,147.8,147.91,52729,WMT,2023-04-04 11:05:00
135130,147.8998,147.91,147.75,147.8,45431,WMT,2023-04-04 11:10:00
135132,147.69,147.69,147.51,147.57,60247,WMT,2023-04-04 11:20:00
135133,147.56,147.61,147.51,147.54,39778,WMT,2023-04-04 11:25:00
135134,147.56,147.57,147.44,147.49,66726,WMT,2023-04-04 11:30:00
135136,147.44,147.65,147.435,147.61,27677,WMT,2023-04-04 11:40:00
135137,147.6,147.79,147.59,147.77,34859,WMT,2023-04-04 11:45:00
135138,147.76,147.84,147.71,147.71,35554,WMT,2023-04-04 11:50:00
135139,147.69,147.78,147.63,147.745,27263,WMT,2023-04-04 11:55:00
135140,147.74,147.75,147.5,147.54,33962,WMT,2023-04-04 12:00:00
135141,147.54,147.64,147.53,147.62,28444,WMT,2023-04-04 12:05:00
135142,147.63,147.68,147.42,147.43,47918,WMT,2023-04-04 12:10:00
135143,147.43,147.45,147.21,147.2597,59040,WMT,2023-04-04 12:15:00
135144,147.26,147.33,147.22,147.22,35474,WMT,2023-04-04 12:20:00
135145,147.205,147.25,147.1,147.18,53124,WMT,2023-04-04 12:25:00
135147,147.34,147.38,147.29,147.29,28849,WMT,2023-04-04 12:35:00
135148,147.29,147.32,147.2,147.22,38712,WMT,2023-04-04 12:40:00
135149,147.22,147.44,147.21,147.4294,42189,WMT,2023-04-04 12:45:00
135150,147.43,147.51,147.37,147.475,36868,WMT,2023-04-04 12:50:00
135151,147.47,147.48,147.36,147.39,30607,WMT,2023-04-04 12:55:00
135152,147.385,147.43,147.34,147.355,36170,WMT,2023-04-04 13:00:00
135154,147.2987,147.44,147.26,147.31,39092,WMT,2023-04-04 13:10:00
135156,147.31,147.5,147.305,147.47,38900,WMT,2023-04-04 13:20:00
135157,147.46,147.5,147.39,147.5,30389,WMT,2023-04-04 13:25:00
135159,147.435,147.435,147.25,147.25,70861,WMT,2023-04-04 13:35:00
135160,147.255,147.33,147.24,147.325,68657,WMT,2023-04-04 13:40:00
135161,147.325,147.345,147.17,147.185,51778,WMT,2023-04-04 13:45:00
135162,147.18,147.18,147.02,147.14,46303,WMT,2023-04-04 13:50:00
135165,147.09,147.14,147.075,147.12,31523,WMT,2023-04-04 14:05:00
135166,147.13,147.25,147.13,147.14,54530,WMT,2023-04-04 14:10:00
135167,147.15,147.2824,147.145,147.24,37850,WMT,2023-04-04 14:15:00
135169,147.19,147.255,147.18,147.19,39543,WMT,2023-04-04 14:25:00
135170,147.19,147.27,147.185,147.21,47170,WMT,2023-04-04 14:30:00
135171,147.2,147.25,147.15,147.19,49551,WMT,2023-04-04 14:35:00
135172,147.19,147.23,147.12,147.18,35414,WMT,2023-04-04 14:40:00
135173,147.18,147.18,147.095,147.14,39824,WMT,2023-04-04 14:45:00
135174,147.1417,147.1417,147.03,147.05,33398,WMT,2023-04-04 14:50:00
135176,147.1,147.22,147.05,147.175,72049,WMT,2023-04-04 15:00:00
135177,147.17,147.33,147.125,147.31,39769,WMT,2023-04-04 15:05:00
135178,147.3,147.32,147.19,147.23,48716,WMT,2023-04-04 15:10:00
135179,147.2399,147.29,147.12,147.18,62132,WMT,2023-04-04 15:15:00
135180,147.19,147.29,147.175,147.275,56432,WMT,2023-04-04 15:20:00
135181,147.28,147.4,147.27,147.325,68223,WMT,2023-04-04 15:25:00
135183,147.23,147.25,147.145,147.18,60673,WMT,2023-04-04 15:35:00
135185,147.195,147.235,147.16,147.16,83449,WMT,2023-04-04 15:45:00
135186,147.165,147.17,147.03,147.03,98410,WMT,2023-04-04 15:50:00
135187,147.03,147.27,147.025,147.255,147797,WMT,2023-04-04 15:55:00
135188,147.255,147.295,147.06,147.24,416745,WMT,2023-04-04 16:00:00
135189,147.23,147.23,147.23,147.23,189908,WMT,2023-04-04 16:05:00
135190,147.23,147.23,147.23,147.23,8738,WMT,2023-04-04 16:10:00
135191,147.23,147.23,147.23,147.23,2932,WMT,2023-04-04 16:15:00
135192,147.34,147.41,144.69,144.74,76158,WMT,2023-04-04 16:30:00
135193,144.29,145.9,144.29,145.9,18070,WMT,2023-04-04 16:35:00
135194,145.62,147.25,145.62,146.45,21389,WMT,2023-04-04 16:40:00
135195,146.58,146.65,146.58,146.65,719,WMT,2023-04-04 16:45:00
135196,146.01,146.5,146.01,146.01,1925,WMT,2023-04-04 16:50:00
135197,146.5,146.74,146.5,146.5,1292,WMT,2023-04-04 16:55:00
135198,146.6,146.6,146.0,146.19,6576,WMT,2023-04-04 17:00:00
135199,146.2,146.2,146.2,146.2,100,WMT,2023-04-04 17:05:00
135200,146.0568,146.0568,146.0568,146.0568,100,WMT,2023-04-04 17:45:00
135201,146.35,146.35,146.35,146.35,960,WMT,2023-04-04 18:30:00
135202,146.45,146.45,146.45,146.45,300,WMT,2023-04-04 18:55:00
135203,146.4,146.4,146.39,146.39,1227,WMT,2023-04-04 19:50:00
135204,146.47,146.48,146.47,146.48,838,WMT,2023-04-04 19:55:00
135205,146.3,146.48,146.3,146.48,1703,WMT,2023-04-04 20:00:00
